@relation TrainningSet
@attribute 0 real 
@attribute 1 real 
@attribute 2 real 
@attribute 3 real 
@attribute 4 real 
@attribute 5 real 
@attribute 6 real 
@attribute 7 real 
@attribute 8 real 
@attribute 9 real 
@attribute 10 real 
@attribute 11 real 
@attribute 12 real 
@attribute 13 real 
@attribute 14 real 
@attribute 15 real 
@attribute 16 real 
@attribute 17 real 
@attribute 18 real 
@attribute class {0,1,2,3,4,5,6}
@data
14,110,0,0,0,1.7222,5.3519,2.6667,1.0222,17.9259,18.8889,21.4444,13.4444,2.8889,10.5556,-13.4444,21.4444,0.36885,-1.3451,0
11,108,0,0,0,1.3333,0.8,1.3889,0.95185,17.6667,19,21.1111,12.8889,4,10.3333,-14.3333,21.1111,0.38876,-1.3021,0
18,145,0,0,0,0.38889,0.018518,0.61111,0.37407,3.9259,5.5556,4,2.2222,4.8889,0.22222,-5.1111,5.5556,0.60053,-0.57094,0
196,129,0,0,0,0.83333,0.43333,0.66667,0.17778,6.3333,7.8889,7.3333,3.7778,4.6667,3,-7.6667,8.2222,0.54012,-0.93278,0
80,116,0,0,0,1.5,1.6333,1.5556,0.87407,21.7037,21.2222,27.5556,16.3333,-1.4444,17.5556,-16.1111,27.5556,0.40736,-1.6322,0
2,44,0,0,0,2.1667,2.3889,2.3889,1.5296,18.7407,17.3333,25.2222,13.6667,-4.2222,19.4444,-15.2222,25.2222,0.45768,-1.7537,0
229,124,0,0,0,0.88889,0.074074,0.88889,0.34074,5.8889,7.1111,7.1111,3.4444,3.6667,3.6667,-7.3333,7.5556,0.54586,-1.0377,0
22,116,0,0,0,0.38889,0.10741,0.33333,0.13333,5.6296,6.7778,7,3.1111,3.4444,4.1111,-7.5556,7.3333,0.5754,-1.0996,0
96,84,0,0,0,1.5,1.2778,1.6111,2.2852,23.8519,23.5556,30,18,-0.88889,18.4444,-17.5556,30,0.39879,-1.5989,0
140,25,0,0,0,1,1.4667,1.1111,0.11852,128,117.7778,142.3333,123.8889,-30.6667,43,-12.3333,142.3333,0.1725,-2.3546,5
152,18,0,0,0,0.77778,0.45542,0.55556,0.27216,112.1111,97.2222,130.4444,108.6667,-44.6667,55,-10.3333,130.4444,0.25467,-2.455,5
181,27,0,0,0,0.72222,0.46296,0.5,0.25555,138.0741,132.5556,146.5556,135.1111,-16.5556,25.4444,-8.8889,146.5556,0.096263,-2.2645,5
226,83,0,0,0,0.88889,0.51852,1.0556,0.50741,90.6296,74.5556,116.8889,80.4444,-48.2222,78.7778,-30.5556,116.8889,0.36206,-2.2391,5
60,52,0,0,0,0.72222,0.5963,0.77778,0.74074,111.6296,101,129.2222,104.6667,-31.8889,52.7778,-20.8889,129.2222,0.21838,-2.2297,5
174,50,0,0,0,1,0.76012,0.94445,0.95258,107.4444,94.6667,125.7778,101.8889,-38.3333,55,-16.6667,125.7778,0.24734,-2.3373,5
67,71,0,0,0,1.6667,0.88889,1.5,0.3,125.963,115.5556,140.8889,121.4444,-31.2222,44.7778,-13.5556,140.8889,0.17967,-2.3398,5
92,56,0,0,0,0.44444,0.029629,0.83333,0.56667,126,115.8889,140.6667,121.4444,-30.3333,44,-13.6667,140.6667,0.17606,-2.3268,5
21,122,0,0,0,0.44444,0.40369,0.44444,0.40369,0.55556,0,1.2222,0.44444,-1.6667,2,-0.33333,1.2222,0.55556,-2.4446,2
18,87,0,0,0,1.5556,1.9626,1.8889,1.747,2.9259,1.2222,5.6667,1.8889,-5.1111,8.2222,-3.1111,5.6667,0.86277,-2.2295,2
80,87,0,0,0.11111,24.3889,572.9964,44.7222,1386.3292,67.4444,58.7778,79,64.5556,-26,34.6667,-8.6667,79,0.30628,-2.4221,2
140,124,0,0,0,1,0.44444,1.1111,1.0519,2.5185,0.22222,6.1111,1.2222,-6.8889,10.7778,-3.8889,6.1111,0.97377,-2.2675,2
69,139,0,0,0,2.8333,1.7733,2.1111,1.6689,18.0741,16,22.5556,15.6667,-6.2222,13.4444,-7.2222,23.8889,0.38661,-1.7028,2
9,80,0,0,0,2.9444,13.7519,16.6667,71.5111,23.6296,17.3333,31.6667,21.8889,-18.8889,24.1111,-5.2222,31.6667,0.51425,-2.4315,2
74,129,0,0,0,0.22222,0.02963,0.11111,0.02963,0.51852,0,1.5556,0,-1.5556,3.1111,-1.5556,1.5556,1,-2.0944,2
41,75,0,0,0.11111,15.3889,19.1363,26.6111,31.7136,55,47.4444,65.4444,52.1111,-22.6667,31.3333,-8.6667,65.4444,0.2978,-2.3568,2
94,144,0,0,0,0.44444,0.11852,0.5,0.16667,1.1481,0,3.4444,0,-3.4444,6.8889,-3.4444,3.4444,1,-2.0944,2
68,103,0,0,0,0.66667,0.57778,1.1111,0.96296,2.1481,0.11111,5.6667,0.66667,-6.1111,10.5556,-4.4444,5.6667,0.98765,-2.1855,2
59,99,0,0,0,0.77778,0.82963,1,0.35556,2.037,0.11111,5.5556,0.44444,-5.7778,10.5556,-4.7778,5.5556,0.98611,-2.1497,2
1,81,0,0,0,12.1667,267.4555,9.2222,205.363,21.3333,14,30.5556,19.4444,-22,27.6667,-5.6667,30.5556,0.59528,-2.4384,2
140,125,0,0,0,0.66667,0.22222,2.6667,3.7778,3.9259,1.5556,7.7778,2.4444,-7.1111,11.5556,-4.4444,7.7778,0.8532,-2.2342,2
23,129,0,0,0,0.5,0.077778,0.38889,0.15185,0.51852,0,1.5556,0,-1.5556,3.1111,-1.5556,1.5556,0.77778,-2.0944,2
136,45,0,0,0,1.2222,1.5444,2.0556,1.5263,53.0741,48.1111,63.7778,47.3333,-14.8889,32.1111,-17.2222,63.7778,0.25937,-2.0459,1
190,105,0,0,0,1.8889,2.2963,2.1667,1.6778,45.7407,41.2222,56.3333,39.6667,-13.5556,31.7778,-18.2222,56.3333,0.29599,-1.9961,1
243,120,0,0,0,4.4444,4.3597,1.5556,1.8338,47.8519,44.7778,56.3333,42.4444,-9.2222,25.4444,-16.2222,56.3333,0.24532,-1.9107,1
118,126,0,0,0,0.66667,0.4,1.8333,2.1222,20.5556,16.1111,28.6667,16.8889,-13.3333,24.3333,-11,28.6667,0.43708,-2.1588,1
150,158,0,0,0,2.1667,1.6333,1.3889,0.41852,8.4444,7,12.2222,6.1111,-4.3333,11.3333,-7,12.2222,0.50309,-1.9434,1
